case,repetition,condition,elapsed_ms,request_bytes,response_bytes
ko-md-1000,4,direct,57.571750000000065,0,0
ko-md-1000,4,mcp,55.42366700000002,207,2001
ko-md-1000,5,mcp,54.099083000000064,207,2001
ko-md-1000,5,direct,62.0046669999997,0,0
ko-md-1000,6,direct,53.952000000000226,0,0
ko-md-1000,6,mcp,54.18558299999995,207,2000
ko-md-1000,7,mcp,54.1427920000001,207,2001
ko-md-1000,7,direct,54.44875000000002,0,0
ko-md-1000,8,direct,55.88987499999985,0,0
ko-md-1000,8,mcp,58.250082999999904,207,2001
ko-md-1000,9,mcp,54.67833299999984,207,2001
ko-md-1000,9,direct,53.102750000000015,0,0
ko-md-1000,10,direct,54.5515419999997,0,0
ko-md-1000,10,mcp,54.41383300000007,207,2001
ko-md-1000,11,mcp,53.621124999999665,207,2001
ko-md-1000,11,direct,54.18529099999978,0,0
ko-md-1000,12,direct,54.21362500000032,0,0
ko-md-1000,12,mcp,57.302916000000096,207,2001
ko-md-1000,13,mcp,79.27499999999964,207,2001
ko-md-1000,13,direct,63.425459000000046,0,0
ko-md-1000,14,direct,54.19658299999992,0,0
ko-md-1000,14,mcp,56.01974999999993,207,2001
ko-md-1000,15,mcp,54.75154199999997,207,2001
ko-md-1000,15,direct,54.0451250000001,0,0
ko-md-1000,16,direct,53.89229199999954,0,0
ko-md-1000,16,mcp,54.660125000000335,207,2001
ko-md-1000,17,mcp,57.95316600000024,207,2001
ko-md-1000,17,direct,58.91095799999948,0,0
ko-md-1000,18,direct,61.66033299999981,0,0
ko-md-1000,18,mcp,54.761874999999236,207,2001
ko-md-1000,19,mcp,54.12066699999923,207,2001
ko-md-1000,19,direct,53.577290999999605,0,0
ko-xlsx-1000,0,direct,80.16808299999957,0,0
ko-xlsx-1000,0,mcp,116.58558300000004,208,2002
ko-xlsx-1000,1,mcp,85.72341700000015,208,2002
ko-xlsx-1000,1,direct,91.50704200000018,0,0
ko-xlsx-1000,2,direct,86.59979199999998,0,0
ko-xlsx-1000,2,mcp,90.55054199999995,209,2003
ko-xlsx-1000,3,mcp,83.23958399999992,209,2003
ko-xlsx-1000,3,direct,81.66470800000025,0,0
ko-xlsx-1000,4,direct,93.12354099999993,0,0
ko-xlsx-1000,4,mcp,79.99112499999956,209,2003
ko-xlsx-1000,5,mcp,92.60808399999951,209,2003
ko-xlsx-1000,5,direct,74.54020799999944,0,0
ko-xlsx-1000,6,direct,73.01170900000034,0,0
ko-xlsx-1000,6,mcp,82.97595899999942,209,2003
ko-xlsx-1000,7,mcp,86.77966699999979,209,2003
ko-xlsx-1000,7,direct,77.66570800000045,0,0
ko-xlsx-1000,8,direct,79.02241700000013,0,0
ko-xlsx-1000,8,mcp,82.10012499999993,209,2003
ko-xlsx-1000,9,mcp,81.93712500000038,209,2003
ko-xlsx-1000,9,direct,82.28120799999942,0,0
ko-xlsx-1000,10,direct,77.01516700000047,0,0
ko-xlsx-1000,10,mcp,82.81166700000085,209,2003
ko-xlsx-1000,11,mcp,89.21354200000042,209,2003
ko-xlsx-1000,11,direct,73.35687499999949,0,0
ko-xlsx-1000,12,direct,72.48958399999992,0,0
ko-xlsx-1000,12,mcp,91.30516700000044,209,2003
ko-xlsx-1000,13,mcp,81.60566699999981,209,2003
ko-xlsx-1000,13,direct,74.67658399999982,0,0
ko-xlsx-1000,14,direct,74.27400000000034,0,0
ko-xlsx-1000,14,mcp,87.97166599999946,209,2003
ko-xlsx-1000,15,mcp,84.36458299999958,209,2002
ko-xlsx-1000,15,direct,73.4965000000002,0,0
ko-xlsx-1000,16,direct,90.21283399999902,0,0
ko-xlsx-1000,16,mcp,80.76733299999978,209,2002
ko-xlsx-1000,17,mcp,80.03891599999952,209,2003
ko-xlsx-1000,17,direct,76.94233399999939,0,0
ko-xlsx-1000,18,direct,77.10870900000009,0,0
ko-xlsx-1000,18,mcp,119.92195800000081,209,2003
ko-xlsx-1000,19,mcp,87.1193749999984,209,2003
ko-xlsx-1000,19,direct,73.77545900000041,0,0
en-md-10,0,direct,0.692417000000205,0,0
en-md-10,0,mcp,0.9782079999986308,204,1719
en-md-10,1,mcp,1.04254199999923,204,1719
en-md-10,1,direct,0.6785839999993186,0,0
en-md-10,2,direct,0.637124999999287,0,0
en-md-10,2,mcp,0.8234579999989364,205,1720
en-md-10,3,mcp,0.8609169999999722,205,1720
en-md-10,3,direct,0.6902500000014697,0,0
en-md-10,4,direct,0.6665830000001733,0,0
en-md-10,4,mcp,0.8913329999995767,205,1720
en-md-10,5,mcp,0.8595420000001468,205,1720
en-md-10,5,direct,0.7237500000010186,0,0
en-md-10,6,direct,0.739000000001397,0,0
en-md-10,6,mcp,0.8537910000013653,205,1720
en-md-10,7,mcp,0.843790999999328,205,1720
en-md-10,7,direct,0.6882089999999152,0,0
en-md-10,8,direct,0.6532079999997222,0,0
en-md-10,8,mcp,0.7959590000009484,205,1720
en-md-10,9,mcp,0.7614580000008573,205,1720
